pmid|biotype|identifier_type
"17689535|imex:IM-10991|mint:MINT-5220120"|molecular interactions|pmid
28197630|disease|pmid
27592368|disease|pmid
24668726|disease|pmid
19860830|molecular interactions|pmid
9856458|molecular interactions|pmid
16537548|molecular interactions|pmid
"11018023|imex:IM-20044"|molecular interactions|pmid
15756593|disease|pmid
8760815|molecular interactions|pmid
30496552|molecular interactions|pmid
21135251|molecular interactions|pmid
"24515439|imex:IM-24138"|molecular interactions|pmid
23936060|disease|pmid
26777405|molecular interactions|pmid
18596546|disease|pmid
18078810|molecular interactions|pmid
18990008|disease|pmid
30219203|disease|pmid
15364580|molecular interactions|pmid
16310481|disease|pmid
19953283|disease|pmid
34689164|molecular interactions|pmid
12379483|molecular interactions|pmid
10187858|molecular interactions|pmid
22616202|disease|pmid
10598591|molecular interactions|pmid
26527736|molecular interactions|pmid
10886088|disease|pmid
11049968|molecular interactions|pmid
15485920|molecular interactions|pmid
12777400|molecular interactions|pmid
9856337|molecular interactions|pmid
27007162|disease|pmid
23496883|genetic interaction|pmid
16290148|molecular interactions|pmid
9507007|molecular interactions|pmid
15505619|disease|pmid
25628365|molecular interactions|pmid
19064721|disease|pmid
"16487070|imex:IM-26154"|molecular interactions|pmid
21398698|molecular interactions|pmid
26297558|disease|pmid
16581786|molecular interactions|pmid
26868664|disease|pmid
29176319|molecular interactions|pmid
10590366|disease|pmid
35393453|molecular interactions|pmid
28259968|disease|pmid
15905889|disease|pmid
"imex:IM-14462|15757897"|molecular interactions|
8292612|molecular interactions|pmid
"imex:IM-23319|24557338"|molecular interactions|
8392398|disease|pmid
18519587|molecular interactions|pmid
34195792|molecular interactions|pmid
15917201|disease|pmid
29900055|disease|pmid
12771962|molecular interactions|pmid
"29220510|imex:IM-28777"|molecular interactions|pmid
10888887|disease|pmid
"16845371|imex:IM-10795|mint:MINT-5218831"|molecular interactions|pmid
24383081|molecular interactions|pmid
17259403|disease|pmid
8242903|disease|pmid
"imex:IM-29527|35511136"|molecular interactions|
21084637|molecular interactions|pmid
12114354|disease|pmid
"mint:MINT-8142188|21252943|imex:IM-15365|doi:10.1038/embor.2010.206"|molecular interactions|
10224105|molecular interactions|pmid
12234934|molecular interactions|pmid
28096054|disease|pmid
29934401|molecular interactions|pmid
11448994|molecular interactions|pmid
10918611|molecular interactions|pmid
21425139|disease|pmid
18447576|disease|pmid
"17923693|mint:MINT-8007985|doi:10.1128/MCB.00950-07"|molecular interactions|pmid
26555259|molecular interactions|pmid
"26331536|doi:10.1038/nature15251|imex:IM-24925"|molecular interactions|pmid
17119055|disease|pmid
9545286|molecular interactions|pmid
"imex:IM-28259|19533040"|molecular interactions|
12601044|molecular interactions|pmid
11781350|molecular interactions|pmid
26540344|molecular interactions|pmid
"10748127|mint:MINT-5212413"|molecular interactions|pmid
"imex:IM-29334|34675436"|molecular interactions|
18258854|molecular interactions|pmid
16775617|disease|pmid
33849069|molecular interactions|pmid
8662691|molecular interactions|pmid
28000885|disease|pmid
15024690|disease|pmid
16595680|molecular interactions|pmid
19741096|molecular interactions|pmid
17224646|disease|pmid
15681609|molecular interactions|pmid
12527750|molecular interactions|pmid
24662486|molecular interactions|pmid
21462799|disease|pmid
26496610|molecular interactions|pmid
22843550|disease|pmid
15574200|disease|pmid
19942853|molecular interactions|pmid
11447110|molecular interactions|pmid
21278392|disease|pmid
20208140|molecular interactions|pmid
"15086532|imex:IM-20433"|molecular interactions|pmid
"19688755|imex:IM-20431"|molecular interactions|pmid
9408292|disease|pmid
31110137|molecular interactions|pmid
11792840|molecular interactions|pmid
17036286|disease|pmid
20543138|molecular interactions|pmid
19176382|disease|pmid
18307534|molecular interactions|pmid
9535722|molecular interactions|pmid
18989383|disease|pmid
"imex:IM-11873|18191226"|molecular interactions|
12589020|molecular interactions|pmid
17133182|disease|pmid
32609811|molecular interactions|pmid
21468021|molecular interactions|pmid
"24606901|doi:10.1016/j.cmet.2014.01.015|imex:IM-21965"|molecular interactions|pmid
21705327|molecular interactions|pmid
21245296|molecular interactions|pmid
29268763|molecular interactions|pmid
11585818|molecular interactions|pmid
"23840749|imex:IM-21238"|molecular interactions|pmid
10952994|molecular interactions|pmid
12594831|molecular interactions|pmid
15368194|disease|pmid
18059335|molecular interactions|pmid
20089882|molecular interactions|pmid
9564850|molecular interactions|pmid
16525031|disease|pmid
16649161|disease|pmid
"16227268|imex:IM-25835"|molecular interactions|pmid
17449325|disease|pmid
11020342|disease|pmid
28963376|molecular interactions|pmid
10760569|disease|pmid
16431367|molecular interactions|pmid
24674232|disease|pmid
12751040|disease|pmid
34743935|molecular interactions|pmid
16507107|disease|pmid
17606874|disease|pmid
11263668|molecular interactions|pmid
16230076|molecular interactions|pmid
11551916|molecular interactions|pmid
10745013|molecular interactions|pmid
22427670|molecular interactions|pmid
11273064|disease|pmid
8654373|molecular interactions|pmid
12624497|disease|pmid
16111684|molecular interactions|pmid
25234644|disease|pmid
17187064|molecular interactions|pmid
22988096|molecular interactions|pmid
